date,steps
2022-06-28,5295
2022-06-29,350
2022-06-30,2903
2022-07-01,7652
2022-07-02,6316
2022-07-03,15521
2022-07-04,5100
2022-07-05,5190
2022-07-06,5375
2022-07-07,9539
2022-07-08,11917
2022-07-09,15381
2022-07-10,5945
2022-07-11,9400
2022-07-12,9727
2022-07-13,6667
2022-07-14,1666
2022-07-15,4608
2022-07-16,9132
2022-07-17,8493
2022-07-18,5315
2022-07-19,3267
2022-07-20,7325
2022-07-21,2855
2022-07-22,4716
2022-07-23,8865
2022-07-24,5297
2022-07-25,12045
2022-07-26,6024
2022-07-27,2670
2022-07-28,2336
2022-07-29,4204
2022-07-30,6331
2022-07-31,12437
2022-08-01,4457
2022-08-02,4281
2022-08-03,4272
2022-08-04,2706
2022-08-05,3973
2022-08-06,18799
2022-08-07,13228
2022-08-08,5841
2022-08-09,9497
2022-08-10,6077
2022-08-11,6774
2022-08-12,12720
2022-08-13,15565
2022-08-14,14622
2022-08-15,17761
2022-08-16,7599
2022-08-17,8020
2022-08-18,4879
2022-08-19,5155
2022-08-20,9970
2022-08-21,11238
2022-08-22,5038
2022-08-23,4749
2022-08-24,6395
2022-08-25,4812
2022-08-26,10718
2022-08-27,4209
2022-08-28,3336
2022-08-29,6007
2022-08-30,5172
2022-08-31,8683
2022-09-01,8498
2022-09-02,4607
2022-09-03,3410
2022-09-04,5259
2022-09-05,5456
2022-09-06,4013
2022-09-07,5249
2022-09-08,4553
2022-09-09,3552
2022-09-10,17972
2022-09-11,11316
2022-09-12,11205
2022-09-13,7638
2022-09-14,8417
2022-09-15,8889
2022-09-16,15682
2022-09-17,14990
2022-09-18,8811
2022-09-19,6252
2022-09-20,11970
2022-09-21,10125
2022-09-22,9290
2022-09-23,16227
2022-09-24,15283
2022-09-25,7357
2022-09-26,7992
2022-09-27,7685
2022-09-28,8155
2022-09-29,10330
2022-09-30,10839
2022-10-01,9115
2022-10-02,7755
2022-10-03,7095
2022-10-04,8591
2022-10-05,8369
2022-10-06,10842
2022-10-07,10689
2022-10-08,13880
2022-10-09,8441
2022-10-10,7104
2022-10-11,8041
2022-10-12,7314
2022-10-13,9644
2022-10-14,10219
2022-10-15,15197
2022-10-16,6354
2022-10-17,6476
2022-10-18,8045
2022-10-19,9710
2022-10-20,12689
2022-10-21,6489
2022-10-22,10896
2022-10-23,5584
2022-10-24,12179
2022-10-25,10712
2022-10-26,6724
2022-10-27,12187
2022-10-28,8597
2022-10-29,9613
2022-10-30,8830
2022-10-31,9206
2022-11-01,10525
2022-11-02,7434
2022-11-03,10707
2022-11-04,6687
2022-11-05,10012
2022-11-06,5263
2022-11-07,6102
2022-11-08,10980
2022-11-09,5720
2022-11-10,8301
2022-11-11,9461
2022-11-12,11945
2022-11-13,7826
2022-11-14,9674
2022-11-15,8374
2022-11-16,9025
2022-11-17,8356
2022-11-18,7656
2022-11-19,8337
2022-11-20,4721
2022-11-21,4695
2022-11-22,4453
2022-11-23,6363
2022-11-24,8562
2022-11-25,5662
2022-11-26,5245
2022-11-27,8630
2022-11-28,10541
2022-11-29,9950
2022-11-30,8811
2022-12-01,9934
2022-12-02,7329
2022-12-03,7277
2022-12-04,5480
2022-12-05,8381
2022-12-06,12319
2022-12-07,8058
2022-12-08,7015
2022-12-09,7551
2022-12-10,4901
2022-12-11,5586
2022-12-12,8737
2022-12-13,8616
2022-12-14,9518
2022-12-15,5909
2022-12-16,10177
2022-12-17,6597
2022-12-18,6229
2022-12-19,1596
2022-12-20,8653
2022-12-21,4572
2022-12-22,3609
2022-12-23,3763
2022-12-24,4616
2022-12-25,1596
2022-12-26,11326
2022-12-27,8189
2022-12-28,5078
2022-12-29,3235
2022-12-30,5460
2022-12-31,6160
2023-01-01,4471
2023-01-02,3595
2023-01-03,4510
2023-01-04,10684
2023-01-05,10890
2023-01-06,6134
2023-01-07,1792
2023-01-08,3791
2023-01-09,9065
2023-01-10,10146
2023-01-11,7695
2023-01-12,12656
2023-01-13,6546
2023-01-14,8132
2023-01-15,4437
2023-01-16,9180
2023-01-17,10476
2023-01-18,7549
2023-01-19,6315
2023-01-20,6574
2023-01-21,6446
2023-01-22,4423
2023-01-23,6130
2023-01-24,6152
